bank,date,novelty,n_added,dict_dh,dict_redline,rob_dh,rob_redline,rob_disp,r2,r5,r10,r30,src,alpha_r2,alpha_r5,alpha_r10,alpha_r30
ECB,2017-07-20,0.725,29,-0.06467592592592593,-0.08260649087221095,-0.07256173351383444,-0.10153313654409357,0.6933185485513685,0.0,-1.0000000000000009,0.0,-2.0000000000000018,daily,-0.8929140257569945,-0.9933938279116302,-0.43046154816513416,0.2007810224907495
FOMC,2017-07-26,0.375,9,0.03083333333333333,0.08055555555555555,-0.04208385260672609,-0.08336413686985095,0.5405778505652046,-1.59,-2.4999999999999902,-1.61000000000002,-0.31999999999996,usmpd,-0.5597931522670209,-0.6407014932633954,-0.21568626623636367,0.2060809908832198
ECB,2017-09-07,0.6956521739130435,32,0.06737318840579713,0.09607371794871794,0.11817814243695465,0.16177237897316515,0.6414772492097318,-3.0000000000000027,-6.000000000000005,-5.000000000000027,-6.000000000000005,daily,1.1563267048091688,1.232186067561222,0.9115806326848099,0.4237288762256777
FOMC,2017-09-20,0.4,10,-0.020833333333333332,-0.05555555555555555,-0.07152266575417646,-0.2007952773395421,0.4830437444563723,4.50999999999999,5.5100000000000104,3.36000000000002,1.02000000000002,usmpd,-0.9278735111519476,-1.0480416438567006,-0.45776916616926167,0.17063032558105296
ECB,2017-10-26,0.8125,39,-0.05015096618357488,-0.05974820974820974,0.12524656450962843,0.15303459875355307,0.7056739568081009,1.9999999999999796,0.9999999999999787,2.0000000000000018,0.9999999999999787,daily,1.1521344030262737,1.2032647362214304,0.8485467179843259,0.31979739780268
FOMC,2017-11-01,0.4,10,-0.013333333333333334,-0.03333333333333334,-0.0015311017533531411,-0.0038282863853964927,0.4591782008457005,0.38999999999997004,0.49999999999997996,0.8150000000000099,0.64000000000001,usmpd,-0.1514476271810925,-0.2106760536253643,0.033059739428438914,0.23037375835387391
FOMC,2017-12-13,0.5652173913043479,13,0.06405797101449275,0.11709401709401708,0.047640366447879424,0.08224615389380444,0.544088119334488,-1.21999999999999,-1.84000000000001,-1.25000000000001,-0.54000000000002,usmpd,0.37477128694314393,0.3572902571835377,0.3731277469603259,0.2777368749410974
ECB,2017-12-14,0.7708333333333334,37,0.08298611111111108,0.10765765765765765,0.10688392326695367,0.13866000904424772,0.7451516722516515,3.0000000000000027,2.0000000000000018,-0.9999999999999787,-3.000000000000025,daily,0.9475184533354919,0.9823454427676421,0.7716376718911674,0.3629539903593394
ECB,2018-01-25,0.6818181818181819,30,0.007102272727272721,0.010130718954248372,-0.1323745584820768,-0.18051472955757716,0.6832413581335111,0.0,-2.0000000000000018,-2.0000000000000018,-4.0000000000000036,daily,-1.5310069546812441,-1.6504589802750427,-0.7956856585337997,0.20742698762517137
FOMC,2018-01-31,0.55,11,-0.025724637681159422,-0.047619047619047616,-0.03412323709409342,-0.01689924668730841,0.5443801431068485,0.80999999999997,1.50999999999998,1.69000000000001,0.5700000000000001,usmpd,-0.49539139206859073,-0.5830904074749304,-0.18896795241008169,0.20526756524096962
